entry_rank,contributor,first_deposit_time,first_hour,max_early_bps,max_single_deposit_eth,final_weight_eth,approx_points,deposit_count,cluster_size,large_cluster,farm_pattern_90_100,possible_shell,identical_profile,profile_size
1,0x200e710acaa6a93bbc77146026328c40f1d60fb1,2026-08-16 20:02:23.000 UTC,0,19975,0.05,0.0999,316,1,1,false,false,true,true,24
2,0x84cb570cfea8c6afd3b6c1ab491db754886bf8e7,2026-08-16 20:12:47.000 UTC,0,19903,1.69,3.3589,1832.7,2,1,false,false,false,false,1
3,0xfb0d8b94027c5109ae89c5f08b025cc598cf6f49,2026-08-16 20:16:23.000 UTC,0,19878,53.7,103.6578,10181.2,3,1,false,false,false,false,1
4,0x0a33bb5047489ee4fad6604f3fa5fc65e4df378c,2026-08-16 20:17:35.000 UTC,0,19870,3.1,4.2786,2068.5,17,1,false,false,false,false,1
5,0xcd211569a108fdac74d729ba7358a743a3c2e08d,2026-08-16 20:19:59.000 UTC,0,19853,1.67,3.3041,1817.7,2,2,false,false,false,false,1
6,0x5f6679226356a626bf8415f87f4dc089670679ce,2026-08-16 20:19:59.000 UTC,0,19853,0.4,0.7941,891.1,1,2,false,false,false,false,1
7,0xa227a71e217173de3edcbfb66607e3ef283e4a82,2026-08-16 20:20:11.000 UTC,0,19852,2,3.9139,1978.3,2,1,false,false,false,false,1
8,0xa1c64f69f35517620caddeece857d2e9d938e8cc,2026-08-16 20:21:11.000 UTC,0,19845,1,1.9779,1406.4,3,1,false,false,false,false,1
9,0xf2369008053ca8e6fd7a0ccea3baf0915eff1149,2026-08-16 20:21:47.000 UTC,0,19841,0.3,0.583,763.5,3,2,false,false,false,false,1
10,0x0f78bcca510d3865c42a956afc811543eee9e736,2026-08-16 20:21:47.000 UTC,0,19841,10,18.3902,4288.4,10,2,false,false,false,false,1
11,0x1a751188343bee997ff2132f5454e0b5da477705,2026-08-16 20:23:35.000 UTC,0,19828,3.8,7.5108,2740.6,2,1,false,false,false,false,1
12,0x8dcdb2db0268cde7b5c55492ef31e4fa3d187ac8,2026-08-16 20:25:11.000 UTC,0,19817,0.05,0.0991,314.8,1,1,false,false,true,true,24
13,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,2026-08-16 20:25:23.000 UTC,0,19816,7.0778,13.8325,3719.2,2,1,false,false,false,false,1
14,0x6c39d7e6d7689b7a0d81aff7cc8a346fe054ff13,2026-08-16 20:25:47.000 UTC,0,19813,0.9,1.7786,1333.6,3,1,false,false,false,false,1
15,0x356422bce99809efbf348c2a21a0f54fa98f74ad,2026-08-16 20:26:23.000 UTC,0,19809,0.7,1.3855,1177.1,2,1,false,false,false,false,1
16,0x5359acbef3ede7f6bbe748105f421c6140d32f93,2026-08-16 20:27:35.000 UTC,0,19800,0.05,0.099,314.6,1,1,false,false,true,true,24
17,0x1edf4a63ed081aa473e6c764e59931c37d70d10d,2026-08-16 20:30:35.000 UTC,0,19780,0.05,0.0989,314.5,1,1,false,false,true,true,24
18,0xf8ac5532cf5d261c00c5a71c246225256db6424d,2026-08-16 20:30:47.000 UTC,0,19778,1.2,2.3572,1535.3,12,1,false,false,false,false,1
19,0xa8c4aa8aa2673918605211cad32631aaf3aad0ee,2026-08-16 20:32:11.000 UTC,0,19769,0.2429,0.4633,680.7,2,1,false,false,false,false,1
20,0xfc36db952de0156ad45a9c6654cab1ba07dadec2,2026-08-16 20:32:35.000 UTC,0,19766,1,1.9384,1392.3,2,3,false,false,false,false,1
21,0x64d65e1c4f2e70dc1114f14c6505678c048da7ec,2026-08-16 20:32:35.000 UTC,0,19766,0.055,0.1087,329.7,1,3,false,false,true,true,24
22,0xbb24cda09cb5a838ec93bae56278dc799f34feb4,2026-08-16 20:32:35.000 UTC,0,19766,170,333.596,18264.6,3,3,false,false,false,false,1
23,0x1cbd934eaf49fe310ba4e27606029c9def0168e3,2026-08-16 20:34:23.000 UTC,0,19753,3.6,7.0308,2651.6,4,1,false,false,false,false,1
24,0x117666ca1e398f5facd20ad95812547d6a294188,2026-08-16 20:34:47.000 UTC,0,19750,10.2,20.1441,4488.2,3,1,false,false,false,false,1
25,0xb4b8ca0da5b9e3d21da50ebac065c32d8d30223d,2026-08-16 20:35:47.000 UTC,0,19744,0.3,0.5923,769.6,1,1,false,false,false,false,1
26,0x6cbee5bba3e771ffe27529b9bbb4158a210bf31c,2026-08-16 20:36:59.000 UTC,0,19735,0.06,0.1184,344.1,1,1,false,false,true,true,24
27,0x0bc208668fc26079a688dc02eaa7c3e395f41ea0,2026-08-16 20:37:11.000 UTC,0,19734,4.1,7.9984,2828.1,4,2,false,false,false,false,1
28,0xaa90befc76b37f487eec5c1a593ea5b9826440be,2026-08-16 20:37:11.000 UTC,0,19734,0.2,0.3937,627.4,2,2,false,false,false,false,1
29,0xb133ae084c2c914fb5b47af6b55c46f1bffeb2fc,2026-08-16 20:37:23.000 UTC,0,19732,2,3.9324,1983,10,1,false,false,false,false,1
30,0x2acb1b6a22fbf3f5aacdc22709624622a8aef391,2026-08-16 20:37:35.000 UTC,0,19731,0.05,0.0987,314.1,1,1,false,false,true,true,24
31,0xaf3c7db3a8ca9fe3dc12930b8c93862c490270f9,2026-08-16 20:38:23.000 UTC,0,19725,0.05,0.0986,314,1,1,false,false,true,true,24
32,0xddf76229fc7467699fd73015c5fa7c31cc34de8b,2026-08-16 20:38:35.000 UTC,0,19724,0.05,0.0986,314,1,1,false,false,true,true,24
33,0xe9dc9fecdd9ece9d6510e1521ede1fd350a5b32a,2026-08-16 20:38:59.000 UTC,0,19721,0.05,0.0986,314,1,1,false,false,true,true,24
34,0xdea10e83d50fa5291735b87da783f86b78df0a60,2026-08-16 20:39:11.000 UTC,0,19720,2.06,4.0431,2010.7,2,1,false,false,false,false,1
35,0x2c4109e0f6aa46986c66ddcd66c6c7c80cebb4d7,2026-08-16 20:39:23.000 UTC,0,19719,3.55,6.8336,2614.1,36,1,false,false,false,false,1
36,0x4ac4a33101abb2aa21167de2b881429b915818a3,2026-08-16 20:41:35.000 UTC,0,19703,63.5,125.0828,11184,2,1,false,false,false,false,1
37,0x2a407a15cbb71ae28ec10aad30b7f2e4ee4f3e1b,2026-08-16 20:42:11.000 UTC,0,19699,0.05,0.0985,313.8,1,1,false,false,true,true,24
38,0xb3a898e8e48ed3fb1b6e147448de0f84be977876,2026-08-16 20:42:47.000 UTC,0,19695,0.05,0.0985,313.8,1,1,false,false,true,true,24
