entry_rank,contributor,first_deposit_time,first_hour,max_early_bps,final_weight_eth,approx_points,deposit_count,cluster_size,possible_shell
1,0x200e710acaa6a93bbc77146026328c40f1d60fb1,2026-08-16 20:02:23.000 UTC,0,19975,0.0999,316,1,1,true
2,0x84cb570cfea8c6afd3b6c1ab491db754886bf8e7,2026-08-16 20:12:47.000 UTC,0,19903,3.3589,1832.7,2,1,false
3,0xfb0d8b94027c5109ae89c5f08b025cc598cf6f49,2026-08-16 20:16:23.000 UTC,0,19878,103.6578,10181.2,3,1,false
4,0x0a33bb5047489ee4fad6604f3fa5fc65e4df378c,2026-08-16 20:17:35.000 UTC,0,19870,2.3786,1542.3,4,1,false
5,0xcd211569a108fdac74d729ba7358a743a3c2e08d,2026-08-16 20:19:59.000 UTC,0,19853,3.3041,1817.7,2,2,false
6,0x5f6679226356a626bf8415f87f4dc089670679ce,2026-08-16 20:19:59.000 UTC,0,19853,0.7941,891.1,1,2,false
7,0xa227a71e217173de3edcbfb66607e3ef283e4a82,2026-08-16 20:20:11.000 UTC,0,19852,3.9139,1978.3,2,1,false
8,0xa1c64f69f35517620caddeece857d2e9d938e8cc,2026-08-16 20:21:11.000 UTC,0,19845,1.9779,1406.4,3,1,false
9,0x0f78bcca510d3865c42a956afc811543eee9e736,2026-08-16 20:21:47.000 UTC,0,19841,18.3902,4288.4,10,2,false
10,0xf2369008053ca8e6fd7a0ccea3baf0915eff1149,2026-08-16 20:21:47.000 UTC,0,19841,0.583,763.5,3,2,false
11,0x1a751188343bee997ff2132f5454e0b5da477705,2026-08-16 20:23:35.000 UTC,0,19828,7.5108,2740.6,2,1,false
12,0x8dcdb2db0268cde7b5c55492ef31e4fa3d187ac8,2026-08-16 20:25:11.000 UTC,0,19817,0.0991,314.8,1,1,true
13,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,2026-08-16 20:25:23.000 UTC,0,19816,13.8325,3719.2,2,1,false
14,0x6c39d7e6d7689b7a0d81aff7cc8a346fe054ff13,2026-08-16 20:25:47.000 UTC,0,19813,1.7786,1333.6,3,1,false
15,0x356422bce99809efbf348c2a21a0f54fa98f74ad,2026-08-16 20:26:23.000 UTC,0,19809,1.3855,1177.1,2,1,false
16,0x5359acbef3ede7f6bbe748105f421c6140d32f93,2026-08-16 20:27:35.000 UTC,0,19800,0.099,314.6,1,1,true
17,0x1edf4a63ed081aa473e6c764e59931c37d70d10d,2026-08-16 20:30:35.000 UTC,0,19780,0.0989,314.5,1,1,true
18,0xf8ac5532cf5d261c00c5a71c246225256db6424d,2026-08-16 20:30:47.000 UTC,0,19778,2.3572,1535.3,12,1,false
19,0xa8c4aa8aa2673918605211cad32631aaf3aad0ee,2026-08-16 20:32:11.000 UTC,0,19769,0.4633,680.7,2,1,false
20,0xbb24cda09cb5a838ec93bae56278dc799f34feb4,2026-08-16 20:32:35.000 UTC,0,19766,333.596,18264.6,3,3,false
21,0x64d65e1c4f2e70dc1114f14c6505678c048da7ec,2026-08-16 20:32:35.000 UTC,0,19766,0.1087,329.7,1,3,true
22,0xfc36db952de0156ad45a9c6654cab1ba07dadec2,2026-08-16 20:32:35.000 UTC,0,19766,1.9384,1392.3,2,3,false
23,0x1cbd934eaf49fe310ba4e27606029c9def0168e3,2026-08-16 20:34:23.000 UTC,0,19753,7.0308,2651.6,4,1,false
24,0x117666ca1e398f5facd20ad95812547d6a294188,2026-08-16 20:34:47.000 UTC,0,19750,20.1441,4488.2,3,1,false
25,0xb4b8ca0da5b9e3d21da50ebac065c32d8d30223d,2026-08-16 20:35:47.000 UTC,0,19744,0.5923,769.6,1,1,false
26,0x6cbee5bba3e771ffe27529b9bbb4158a210bf31c,2026-08-16 20:36:59.000 UTC,0,19735,0.1184,344.1,1,1,true
27,0x0bc208668fc26079a688dc02eaa7c3e395f41ea0,2026-08-16 20:37:11.000 UTC,0,19734,7.9984,2828.1,4,2,false
28,0xaa90befc76b37f487eec5c1a593ea5b9826440be,2026-08-16 20:37:11.000 UTC,0,19734,0.3937,627.4,2,2,false
29,0xb133ae084c2c914fb5b47af6b55c46f1bffeb2fc,2026-08-16 20:37:23.000 UTC,0,19732,3.9324,1983,10,1,false
30,0x2acb1b6a22fbf3f5aacdc22709624622a8aef391,2026-08-16 20:37:35.000 UTC,0,19731,0.0987,314.1,1,1,true
31,0xaf3c7db3a8ca9fe3dc12930b8c93862c490270f9,2026-08-16 20:38:23.000 UTC,0,19725,0.0986,314,1,1,true
32,0xddf76229fc7467699fd73015c5fa7c31cc34de8b,2026-08-16 20:38:35.000 UTC,0,19724,0.0986,314,1,1,true
33,0xe9dc9fecdd9ece9d6510e1521ede1fd350a5b32a,2026-08-16 20:38:59.000 UTC,0,19721,0.0986,314,1,1,true
34,0xdea10e83d50fa5291735b87da783f86b78df0a60,2026-08-16 20:39:11.000 UTC,0,19720,4.0431,2010.7,2,1,false
35,0x2c4109e0f6aa46986c66ddcd66c6c7c80cebb4d7,2026-08-16 20:39:23.000 UTC,0,19719,6.8336,2614.1,36,1,false
36,0x4ac4a33101abb2aa21167de2b881429b915818a3,2026-08-16 20:41:35.000 UTC,0,19703,125.0828,11184,2,1,false
37,0x2a407a15cbb71ae28ec10aad30b7f2e4ee4f3e1b,2026-08-16 20:42:11.000 UTC,0,19699,0.0985,313.8,1,1,true
38,0xb3a898e8e48ed3fb1b6e147448de0f84be977876,2026-08-16 20:42:47.000 UTC,0,19695,0.0985,313.8,1,1,true
39,0x21605b0669ba6df9830372fadf7ddcc843bbc3cd,2026-08-16 20:42:59.000 UTC,0,19694,0.5908,768.6,1,1,false
40,0xd89424fbd54c73dab3e9efb7712ceb42c262ae76,2026-08-16 20:43:35.000 UTC,0,19689,2.1658,1471.7,1,1,false
41,0xad128b4fd496ca73eb54b93529a0519c875125ce,2026-08-16 20:45:11.000 UTC,0,19678,0.1968,443.6,1,1,false
42,0x997768db040a75e7b9828a8d2ca284ac9ac285c2,2026-08-16 20:45:23.000 UTC,0,19677,39.1376,6256,1,1,false
43,0x9f8b044f1b7ae5e7b39feabf2cc1ca29f8696969,2026-08-16 20:45:47.000 UTC,0,19674,0.964,981.8,1,2,false
44,0x18d83900be18130e5eef42d9b95b22035436cfda,2026-08-16 20:45:47.000 UTC,0,19674,0.0984,313.6,1,2,true
45,0x29e7a8f8fac7459a245a20e8e00e4dcbf36de34f,2026-08-16 20:46:23.000 UTC,0,19670,2.9505,1717.7,1,1,false
46,0x280256a8fedb77a95de57e4283caee8fa79df393,2026-08-16 20:46:35.000 UTC,0,19669,0.0983,313.6,1,1,true
47,0x381fe486d87c7f2633c777f1b5be3105a2a51744,2026-08-16 20:46:47.000 UTC,0,19667,902.1074,30035.1,2,1,false
48,0x2d3162890e0a81bb0f4a1f65e8878d20853f6216,2026-08-16 20:46:59.000 UTC,0,19666,1.1767,1084.8,2,1,false
49,0x3deae4151a506e30db9dc355e5916dd092eb16c5,2026-08-16 20:47:11.000 UTC,0,19664,0.0983,313.6,1,2,true
50,0x277c74f45724945b2066f305fcb5a609312390e2,2026-08-16 20:47:11.000 UTC,0,19664,0.768,876.3,6,2,false
51,0xc0aa7dc633e1302be1e46f54a50f8277e3eeeffe,2026-08-16 20:47:35.000 UTC,0,19662,0.0983,313.5,1,1,true
52,0xbc87ca75ee832c4d6894790958ba8c9d3b48beb6,2026-08-16 20:47:47.000 UTC,0,19660,117.96,10860.9,1,1,false
53,0xf942ae085a1e99c14bd96d8dffece904edacd375,2026-08-16 20:48:11.000 UTC,0,19657,1.7691,1330.1,1,2,false
54,0x0349b10a1a14384472e0b77c00355f4c434218c1,2026-08-16 20:48:11.000 UTC,0,19657,0.1179,343.4,1,2,true
