contributor,first_deposit_time,first_hour,max_single_deposit_eth,final_weight_eth,approx_points,deposit_count
0xe781b28e02ed5fc4b989905cb6848d318f4735fd,2026-08-17 16:37:23.000 UTC,20,4040,1139.9,33762.4,1
0x1aa780bb10425b86bcf05ecbb7953f9a93729ed9,2026-08-17 11:03:35.000 UTC,15,806.1,1105.7274,33252.5,1
0x2fe4093c894749e596f458764c377bf4f1337b58,2026-08-17 02:20:11.000 UTC,6,786,1363.3962,36924.2,2
0x383f42b5de515c564641f65f5da3bd8b4a35b4b4,2026-08-17 00:24:59.000 UTC,4,620,1125.424,33547.3,1
0x9fa60c355816a28ffb76d77c30b06952f413b1df,2026-08-18 06:32:11.000 UTC,34,501,501,22383,1
0x75d51517b90cc5c8873c631ddc177a1bfd96b074,2026-08-16 21:25:47.000 UTC,1,490.9,951.9288,30853.3,12
0x5d13fd37e8758030a6a10857c0cb699b2bff7a83,2026-08-16 21:33:11.000 UTC,1,490,947.905,30788.1,1
0x2d3fd4eb27e1ff622eb699c1b10cc7663be70ab5,2026-08-16 21:43:59.000 UTC,1,490,944.23,30728.3,1
0x381fe486d87c7f2633c777f1b5be3105a2a51744,2026-08-16 20:46:47.000 UTC,0,461.1,902.1074,30035.1,2
0x000461a73d3985eef4923655782aa5d0de75c111,2026-08-16 21:30:59.000 UTC,1,317.1,613.9054,24777.1,2
0x193e75b60a4ca8bc842dc28604afc6c41afe972a,2026-08-16 21:29:35.000 UTC,1,271,522.6394,22861.3,2
0xd891769ecec9dc911441a15b1a090cc9af1d9eee,2026-08-17 17:51:47.000 UTC,21,217.5,236.0542,15364.1,2
0x9572cbe40ff2ed3dd1a4c0fa1c4a89bae0decccb,2026-08-17 17:37:47.000 UTC,21,205,225.09,15003,1
0x62ee30f8a0357d2196450cc2b0d6441f8a92d981,2026-08-18 07:17:59.000 UTC,35,200,200,14142.1,1
0xd8222670b20761708d32a6a9b5e2f3a266d9673d,2026-08-16 21:09:23.000 UTC,1,193,338.5654,18400.1,2
0x6c59ee4552f44dd93841a2b39304c3ed7e1935b4,2026-08-17 16:56:11.000 UTC,20,171.99,193.8155,13921.8,1
0x225c94b665f915ef85e6fd7f6fb2ff514daa6733,2026-08-17 16:57:59.000 UTC,20,171.99,193.5919,13913.7,1
0x4fb24fb1cdf7a990fa8df38f78c1d49f1f74bea3,2026-08-17 16:53:59.000 UTC,20,171.99,194.0735,13931,1
0x626a4912f9671ecb7ff42c85f0392fd437875d51,2026-08-17 16:52:59.000 UTC,20,171.99,194.1939,13935.3,1
0xcecc592a6c188f3b59ea0fc06f4f4fbb42e637d8,2026-08-17 16:56:47.000 UTC,20,171.99,193.7295,13918.7,1
0xd15031d0942634ccac10274e68945a23d2720922,2026-08-17 16:51:47.000 UTC,20,171.99,194.3315,13940.3,1
0x3e89d442c94c8760029bc952ec2068194a4fa7cb,2026-08-17 16:54:47.000 UTC,20,171.99,193.9703,13927.3,1
0x1b6020630c59b1ca6f2391c102f8614a2380ebd1,2026-08-17 16:57:23.000 UTC,20,171.99,193.6607,13916.2,1
0x918f37cf78dbeedcd5c7bdb2dbbe122980ac11b6,2026-08-17 16:59:35.000 UTC,21,171.99,193.4028,13906.9,1
0x85a8fa8eae4d5ce10cc287da19030a87174491aa,2026-08-17 16:58:35.000 UTC,20,171.99,193.5231,13911.3,1
0xbb24cda09cb5a838ec93bae56278dc799f34feb4,2026-08-16 20:32:35.000 UTC,0,170,333.596,18264.6,3
0x85e3f17c84e239cec91e42ab3df021db45febf17,2026-08-17 11:47:47.000 UTC,15,169,224.6557,14988.5,4
0xd3474bd2f558b12e83810ec7d8af14f2d1d08137,2026-08-17 08:53:47.000 UTC,12,140,204.3325,14294.5,4
0xad468e8336182e2cec7022f3434f91227c33a723,2026-08-16 23:27:11.000 UTC,3,138,256.0314,16001,1
0x82c4426b73929c9b2a373b3a902ae7471abf0914,2026-08-16 21:33:35.000 UTC,1,136,261.1408,16159.9,8
0x7f2fc61aab7ae63eb8192bb7ec36709917707f7a,2026-08-16 21:41:23.000 UTC,1,126,243.0288,15589.4,1
0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,2026-08-16 21:58:23.000 UTC,1,125,239.625,15479.8,1
0x0ce4aded6a6e4f7dc5c5faa14f9d5b81d69bfed5,2026-08-17 19:15:35.000 UTC,23,114,117.3516,10832.9,2
