contributor,first_deposit_time,first_hour,max_early_bps,final_weight_eth,approx_points,deposit_count
0x2fe4093c894749e596f458764c377bf4f1337b58,2026-08-17 02:20:11.000 UTC,6,17352,1363.3962,36924.2,2
0xe781b28e02ed5fc4b989905cb6848d318f4735fd,2026-08-17 16:37:23.000 UTC,20,11399,1139.9,33762.4,1
0x383f42b5de515c564641f65f5da3bd8b4a35b4b4,2026-08-17 00:24:59.000 UTC,4,18152,1125.424,33547.3,1
0x1aa780bb10425b86bcf05ecbb7953f9a93729ed9,2026-08-17 11:03:35.000 UTC,15,13717,1105.7274,33252.5,1
0x75d51517b90cc5c8873c631ddc177a1bfd96b074,2026-08-16 21:25:47.000 UTC,1,19396,951.9288,30853.3,12
0x5d13fd37e8758030a6a10857c0cb699b2bff7a83,2026-08-16 21:33:11.000 UTC,1,19345,947.905,30788.1,1
0x2d3fd4eb27e1ff622eb699c1b10cc7663be70ab5,2026-08-16 21:43:59.000 UTC,1,19270,944.23,30728.3,1
0x381fe486d87c7f2633c777f1b5be3105a2a51744,2026-08-16 20:46:47.000 UTC,0,19667,902.1074,30035.1,2
0x000461a73d3985eef4923655782aa5d0de75c111,2026-08-16 21:30:59.000 UTC,1,19360,613.9054,24777.1,2
0x193e75b60a4ca8bc842dc28604afc6c41afe972a,2026-08-16 21:29:35.000 UTC,1,19370,522.6394,22861.3,2
0xd8222670b20761708d32a6a9b5e2f3a266d9673d,2026-08-16 21:09:23.000 UTC,1,19510,338.5654,18400.1,2
0xbb24cda09cb5a838ec93bae56278dc799f34feb4,2026-08-16 20:32:35.000 UTC,0,19766,333.596,18264.6,3
0x82c4426b73929c9b2a373b3a902ae7471abf0914,2026-08-16 21:33:35.000 UTC,1,19342,261.1408,16159.9,8
0xad468e8336182e2cec7022f3434f91227c33a723,2026-08-16 23:27:11.000 UTC,3,18553,256.0314,16001,1
0x7f2fc61aab7ae63eb8192bb7ec36709917707f7a,2026-08-16 21:41:23.000 UTC,1,19288,243.0288,15589.4,1
0x2bdf1a698d39a4358e2c162deacc038fadb8a9d5,2026-08-16 21:58:23.000 UTC,1,19170,239.625,15479.8,1
0xd891769ecec9dc911441a15b1a090cc9af1d9eee,2026-08-17 17:51:47.000 UTC,21,10882,236.0542,15364.1,2
0x9572cbe40ff2ed3dd1a4c0fa1c4a89bae0decccb,2026-08-17 17:37:47.000 UTC,21,10980,225.09,15003,1
0x85e3f17c84e239cec91e42ab3df021db45febf17,2026-08-17 11:47:47.000 UTC,15,13410,224.6557,14988.5,4
0xd3474bd2f558b12e83810ec7d8af14f2d1d08137,2026-08-17 08:53:47.000 UTC,12,14619,204.3325,14294.5,4
0xd15031d0942634ccac10274e68945a23d2720922,2026-08-17 16:51:47.000 UTC,20,11299,194.3315,13940.3,1
0x626a4912f9671ecb7ff42c85f0392fd437875d51,2026-08-17 16:52:59.000 UTC,20,11291,194.1939,13935.3,1
0x4fb24fb1cdf7a990fa8df38f78c1d49f1f74bea3,2026-08-17 16:53:59.000 UTC,20,11284,194.0735,13931,1
0x3e89d442c94c8760029bc952ec2068194a4fa7cb,2026-08-17 16:54:47.000 UTC,20,11278,193.9703,13927.3,1
0x6c59ee4552f44dd93841a2b39304c3ed7e1935b4,2026-08-17 16:56:11.000 UTC,20,11269,193.8155,13921.8,1
0xcecc592a6c188f3b59ea0fc06f4f4fbb42e637d8,2026-08-17 16:56:47.000 UTC,20,11264,193.7295,13918.7,1
0x1b6020630c59b1ca6f2391c102f8614a2380ebd1,2026-08-17 16:57:23.000 UTC,20,11260,193.6607,13916.2,1
0x225c94b665f915ef85e6fd7f6fb2ff514daa6733,2026-08-17 16:57:59.000 UTC,20,11256,193.5919,13913.7,1
0x85a8fa8eae4d5ce10cc287da19030a87174491aa,2026-08-17 16:58:35.000 UTC,20,11252,193.5231,13911.3,1
0x918f37cf78dbeedcd5c7bdb2dbbe122980ac11b6,2026-08-17 16:59:35.000 UTC,21,11245,193.4028,13906.9,1
0xd4b4cab5cf150f46448a8b312cf4d96521953c5f,2026-08-16 21:41:23.000 UTC,1,19288,192.0583,13858.5,2
0x5439a236a706a64c965c0aeb735f829d7d188d4d,2026-08-17 03:34:35.000 UTC,7,16835,183.2666,13537.6,3
0x27ba37d658c9c1e7f3175d662fdb21f0ae347871,2026-08-17 04:43:59.000 UTC,8,16353,154.1895,12417.3,9
0xea206a51c4dfb41d483de457c4bc93b10716c72c,2026-08-17 07:06:11.000 UTC,11,15366,153.362,12383.9,5
0xe28601398a5448d1147e6e8b0e0c6d686f0d216d,2026-08-16 22:27:59.000 UTC,2,18964,134.8079,11610.7,8
0xaab60fcae970da078a18e165d0e6f9f570731a14,2026-08-16 22:27:23.000 UTC,2,18969,132.783,11523.2,1
0x72f02154b3cd7326db767868dc06e4cede699706,2026-08-16 22:30:35.000 UTC,2,18946,132.622,11516.2,1
0x7d19ff4f15e11dbe8179a40b7b725d7a22af01d2,2026-08-16 22:34:11.000 UTC,2,18921,132.447,11508.6,1
0x61d345347acae0b8fe185ca6ec01857da8c23b7e,2026-08-16 22:36:47.000 UTC,2,18903,132.321,11503.1,1
0x10a16ff9b7604f85b56a01a2d5a04a91292b00a7,2026-08-17 11:38:23.000 UTC,15,13475,132.2338,11499.3,2
0xeb08c7c00765e5bd51919c3d6bc8094ae6a80ac7,2026-08-16 22:39:47.000 UTC,2,18882,132.174,11496.7,1
0xe66ed27ca8fc7ce2d5b7e93469d1ce54a652135f,2026-08-16 22:41:23.000 UTC,2,18871,132.097,11493.3,1
0x4edc23bff05bd48e6d9c452454643058871ddd92,2026-08-16 22:42:35.000 UTC,2,18863,132.041,11490.9,1
0xec34ea3a762b9a8feb69448dbfedac3e624e8c5c,2026-08-16 22:43:35.000 UTC,2,18856,131.992,11488.8,1
0xc7e77f001aef17e7eb9caba574c2d431208a99aa,2026-08-17 11:33:59.000 UTC,15,13506,131.9436,11486.7,3
0x627bb88b7a458d4f74dad1f12726502b47a57641,2026-08-17 11:45:35.000 UTC,15,13425,131.8908,11484.4,2
0xc49b8bc5caa6b961adcd492f447aab25328fda6f,2026-08-16 22:45:59.000 UTC,2,18839,131.873,11483.6,1
0xee768fbd287a5e7e40c46cf01dc6c4848bc21d6f,2026-08-16 22:48:59.000 UTC,2,18819,131.733,11477.5,1
0x851a227399bb7a64e9999bc94c9218cd828181d7,2026-08-16 22:49:59.000 UTC,2,18812,131.684,11475.4,1
0xaf80a4c67c7ad46cd7450c83d4bdf63098dbf094,2026-08-17 11:40:59.000 UTC,15,13457,131.2825,11457.9,2
0x6caa4c53cbe612dbc00b887a6e84b0e8bc771830,2026-08-16 22:58:59.000 UTC,3,18749,131.243,11456.1,1
0xab0bc203b86ce7635adb9e1d0907956a93da2ba9,2026-08-17 11:34:23.000 UTC,15,13503,131.1844,11453.6,2
0x5dfdd72d9b8a93f08929e5007252426076ad4386,2026-08-17 12:24:23.000 UTC,16,13156,130.9022,11441.2,1
0x6369ab01323884ea46639a51ed3ea2140730c73a,2026-08-17 12:27:23.000 UTC,16,13135,130.8246,11437.9,1
